fips_state,fips_county,county,countylong,state,stateabb,landarea,pop,pwpd,pwlogpd,popdens,gamma
1,73,Jefferson,Jefferson County,Alabama,AL,2878.5521,649112.6633,874.8279831,6.434859197,225.4997098,0.170207299
2,20,Anchorage,Anchorage Municipality,Alaska,AK,4420.591351,279606.0375,1768.635895,7.258404308,63.25082219,0.396812522
4,13,Maricopa,Maricopa County,Arizona,AZ,23829.62233,4202026.477,2109.845069,7.432617376,176.3362599,0.246260016
5,119,Pulaski,Pulaski County,Arkansas,AR,1964.339922,391724.8403,997.0777678,6.589816864,199.4180518,0.212243724
6,37,Los Angeles,Los Angeles County,California,CA,10511.86149,9888900.845,4824.798806,8.240590421,940.7373616,0.176545842
8,41,El Paso,El Paso County,Colorado,CO,5508.514019,675878.9825,1648.079502,7.069716742,122.6971521,0.301559285
9,1,Fairfield,Fairfield County,Connecticut,CT,1618.659464,927335.6849,1952.043732,7.035249147,572.9035078,0.165902856
10,3,New Castle,New Castle County,Delaware,DE,1104.157957,551424.2823,1783.97694,7.123163707,499.4070629,0.181705188
11,1,District of Columbia,District of Columbia,District of Columbia,DC,158.340389,604321.9403,5996.715315,8.511162144,3816.600074,0.089215092
12,86,Miami-Dade,Miami-Dade County,Florida,FL,4920.565755,2597751.795,3698.637025,8.022653131,527.9376244,0.228996656
13,121,Fulton,Fulton County,Georgia,GA,1364.208323,966254.3593,1541.071109,7.073731493,708.2894475,0.107695297
15,3,Honolulu,Honolulu County,Hawaii,HI,1555.472299,984196.088,3954.146881,7.912935916,632.7313502,0.249332012
16,1,Ada,Ada County,Idaho,ID,2724.70035,443482.718,1518.253071,7.111623832,162.7638496,0.282298758
17,31,Cook,Cook County,Illinois,IL,2447.357982,5066464.479,4544.117327,8.131060542,2070.177112,0.100759077
18,97,Marion,Marion County,Indiana,IN,1027.109536,904211.7655,1463.234803,7.126869511,880.345994,0.073269824
19,153,Polk,Polk County,Iowa,IA,1482.025679,456089.8794,1419.478177,7.004908119,307.7476227,0.209386383
20,91,Johnson,Johnson County,Kansas,KS,1226.6673,587306.6189,1419.915048,7.075585174,478.7823225,0.152854003
21,111,Jefferson,Jefferson County,Kentucky,KY,986.032282,760121.5359,1554.30614,7.161929913,770.8890974,0.101722022
22,33,East Baton Rouge,East Baton Rouge Parish,Louisiana,LA,1179.460545,450692.5299,1230.997811,6.840178944,382.1175128,0.16540127
23,5,Cumberland,Cumberland County,Maine,ME,2165.087512,287265.4948,928.4781762,6.003629084,132.6807777,0.253326311
24,31,Montgomery,Montgomery County,Maryland,MD,1277.027149,1017582.757,2428.302351,7.521565825,796.8372148,0.15579587
25,17,Middlesex,Middlesex County,Massachusetts,MA,2118.225748,1505886.683,2747.855772,7.36532031,710.9188833,0.176542028
26,163,Wayne,Wayne County,Michigan,MI,1584.501319,1684899.312,1856.539116,7.363260787,1063.362518,0.07563465
27,53,Hennepin,Hennepin County,Minnesota,MN,1434.450857,1163425.246,1988.063654,7.29231292,811.0596754,0.123350094
28,49,Hinds,Hinds County,Mississippi,MS,2252.849338,236628.0862,899.3056668,6.382837281,105.0350248,0.278153203
29,189,St. Louis,St. Louis County,Missouri,MO,1314.263296,980515.175,1440.368879,7.121430197,746.0568806,0.091609774
30,111,Yellowstone,Yellowstone County,Montana,MT,6820.66437,156716.013,1121.758492,6.52448475,22.97664927,0.440450968
31,55,Douglas,Douglas County,Nebraska,NE,845.399899,544496.1386,1736.279605,7.279951201,644.0693206,0.1471397
32,3,Clark,Clark County,Nevada,NV,20439.27697,2301687.563,3096.982599,7.847326351,112.6110071,0.333921687
33,11,Hillsborough,Hillsborough County,New Hampshire,NH,2270.197483,404221.0686,1228.256395,6.4270364,178.0554651,0.249915918
34,3,Bergen,Bergen County,New Jersey,NJ,602.911111,912183.2337,2969.695518,7.741914891,1512.964709,0.105344044
35,1,Bernalillo,Bernalillo County,New Mexico,NM,3007.645106,713257.1294,1960.142809,7.364272325,237.1480359,0.263717201
36,47,Kings,Kings County,New York,NY,179.67131,2494190.358,17947.26518,9.703766883,13881.96233,0.049478142
37,183,Wake,Wake County,North Carolina,NC,2162.195848,1066168.947,1273.67918,6.875800573,493.0954559,0.123580816
38,17,Cass,Cass County,North Dakota,ND,4571.158976,164312.8642,1638.426521,6.982413807,35.94555889,0.453215792
39,35,Cuyahoga,Cuyahoga County,Ohio,OH,1184.093716,1209161.164,1873.573499,7.326854889,1021.170155,0.085759685
40,109,Oklahoma,Oklahoma County,Oklahoma,OK,1835.932121,751182.5411,1435.538281,6.980836974,409.1559446,0.167018952
41,51,Multnomah,Multnomah County,Oregon,OR,1116.560269,768249.7047,2741.543795,7.744429745,688.0503687,0.196981026
42,101,Philadelphia,Philadelphia County,Pennsylvania,PA,347.781835,1499409.493,6877.852664,8.68843783,4311.350801,0.079817006
44,7,Providence,Providence County,Rhode Island,RI,1060.563703,619461.5608,2774.010353,7.480195025,584.0870841,0.223639813
45,45,Greenville,Greenville County,South Carolina,SC,2033.481265,486978.0675,814.0573689,6.396903959,239.4799873,0.160624912
46,99,Minnehaha,Minnehaha County,South Dakota,SD,2089.691755,174685.5578,1344.920547,6.780060492,83.59393549,0.363401197
47,157,Shelby,Shelby County,Tennessee,TN,1977.610549,928361.6274,1373.354115,7.032646756,469.4360211,0.141439991
48,201,Harris,Harris County,Texas,TX,4418.909573,4446365.313,2390.732108,7.558545523,1006.213239,0.103102441
49,35,Salt Lake,Salt Lake County,Utah,UT,1921.943552,1091655.3,2192.214925,7.567700031,567.995506,0.178618928
50,7,Chittenden,Chittenden County,Vermont,VT,1389.750174,160526.6008,1160.98259,6.332056845,115.5075234,0.318878653
51,59,Fairfax,Fairfax County,Virginia,VA,1012.703532,1132199.966,2202.821455,7.483272639,1117.997449,0.098000405
53,33,King,King County,Washington,WA,5478.557088,2026636.064,2361.484817,7.449500597,369.9215015,0.215337647
54,39,Kanawha,Kanawha County,West Virginia,WV,2335.215669,188641.5697,692.4272622,6.002098483,80.78121956,0.277011037
55,79,Milwaukee,Milwaukee County,Wisconsin,WI,625.435232,942562.5297,2865.83983,7.722780207,1507.050581,0.099823277
56,21,Laramie,Laramie County,Wyoming,WY,6956.354974,96220.61442,1044.497774,6.332665474,13.83204491,0.488764849
60,50,Western,Western District,American Samoa,AS,72.498512,33102.9473,1232.890202,6.902329014,456.6017479,0.231887376
66,10,Guam,Guam,Guam,GU,543.555844,169884.9564,1515.032539,7.039174779,312.5437033,0.250621577
69,110,Saipan,Saipan Municipality,North. Mar Isl,MP,118.890997,49085.18288,1392.657243,6.966092791,412.8587035,0.254460189
72,127,San Juan,San Juan Municipio,Puerto Rico,PR,124.029895,362801.2357,4401.928785,8.244359732,2925.111206,0.084785476
78,10,St. Croix,St. Croix Island,Virgin Islands,VI,215.914992,49714.69042,613.4881195,6.131496532,230.2512204,0.182327615